===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 21/11/2024
HORA INICIO: 15:21:37
HORA FINAL: 15:33:30
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
213.00000E+0	130.00000E-3	-4.58260E-3	-28.36818E+0	0.00000E+0	0.00000E+0
214.00000E+0	140.00000E-3	-4.57500E-3	-30.60109E+0	0.00000E+0	0.00000E+0
215.00000E+0	150.00000E-3	-4.57000E-3	-32.82276E+0	0.00000E+0	0.00000E+0
216.00000E+0	160.00000E-3	-4.56360E-3	-35.06004E+0	0.00000E+0	0.00000E+0
217.00000E+0	170.00000E-3	-4.55450E-3	-37.32572E+0	0.00000E+0	0.00000E+0
218.00000E+0	180.00000E-3	-4.54950E-3	-39.56479E+0	0.00000E+0	0.00000E+0
219.00000E+0	190.00000E-3	-4.54000E-3	-41.85022E+0	0.00000E+0	0.00000E+0
220.00000E+0	200.00000E-3	-4.53310E-3	-44.11992E+0	0.00000E+0	0.00000E+0
221.00000E+0	210.00000E-3	-4.52260E-3	-46.43347E+0	0.00000E+0	0.00000E+0
222.00000E+0	220.00000E-3	-4.51450E-3	-48.73186E+0	0.00000E+0	0.00000E+0
223.00000E+0	230.00000E-3	-4.50300E-3	-51.07706E+0	0.00000E+0	0.00000E+0
224.00000E+0	240.00000E-3	-4.49160E-3	-53.43308E+0	0.00000E+0	0.00000E+0
225.00000E+0	250.00000E-3	-4.48200E-3	-55.77867E+0	0.00000E+0	0.00000E+0
226.00000E+0	260.00000E-3	-4.46750E-3	-58.19810E+0	0.00000E+0	0.00000E+0
227.00000E+0	270.00000E-3	-4.45510E-3	-60.60470E+0	0.00000E+0	0.00000E+0
228.00000E+0	280.00000E-3	-4.43910E-3	-63.07585E+0	0.00000E+0	0.00000E+0
229.00000E+0	290.00000E-3	-4.42310E-3	-65.56488E+0	0.00000E+0	0.00000E+0
230.00000E+0	300.00000E-3	-4.40410E-3	-68.11834E+0	0.00000E+0	0.00000E+0
231.00000E+0	310.00000E-3	-4.38500E-3	-70.69555E+0	0.00000E+0	0.00000E+0
232.00000E+0	320.00000E-3	-4.36310E-3	-73.34235E+0	0.00000E+0	0.00000E+0
