C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
-0.180894	-0.0550628
-0.178851	-0.0549933
-0.176823	-0.054912
-0.174796	-0.054828
-0.172863	-0.0547591
-0.170895	-0.0547061
-0.168824	-0.054612
-0.16689	-0.0545545
-0.164907	-0.0544536
-0.162896	-0.0543925
-0.160906	-0.0543088
-0.158918	-0.0542538
-0.156907	-0.0541813
-0.154866	-0.0541269
-0.152882	-0.0540344
-0.150862	-0.0539758
-0.148894	-0.0539002
-0.146865	-0.0538124
-0.144866	-0.0537502
-0.142888	-0.0536822
-0.140908	-0.0536165
-0.138874	-0.0535302
-0.136901	-0.0534725
-0.134926	-0.0534032
-0.132924	-0.0533394
-0.130895	-0.0532347
-0.128857	-0.0531874
-0.126912	-0.053104
-0.124836	-0.0530089
-0.122858	-0.0529583
-0.120894	-0.0528818
-0.118857	-0.0528289
-0.116873	-0.0527308
-0.114941	-0.0526769
-0.112873	-0.0525932
-0.11092	-0.0525288
-0.108881	-0.0524373
-0.106909	-0.0523968
-0.104917	-0.05231
-0.102903	-0.0522279
-0.100888	-0.0521599
-0.0988987	-0.0520954
-0.0968904	-0.0520241
-0.0948854	-0.0519253
-0.0928878	-0.0518612
-0.0909114	-0.0517904
-0.0889255	-0.051716
-0.0869258	-0.0516186
-0.0849462	-0.051564
-0.082955	-0.051488
-0.0809033	-0.0514003
-0.078929	-0.0513323
-0.0768677	-0.0512418
-0.0749104	-0.0511679
-0.0729033	-0.0510692
-0.070929	-0.051006
-0.0689272	-0.0509232
-0.0669211	-0.0508492
-0.0649182	-0.0507405
-0.0629323	-0.0506836
-0.060924	-0.0505877
-0.0589519	-0.0504976
-0.0569373	-0.0504044
-0.054927	-0.0503182
-0.0529241	-0.0502176
-0.0509021	-0.0501261
-0.048861	-0.0500259
-0.0468761	-0.0499373
-0.0449231	-0.0498487
-0.0428724	-0.0497163
-0.0409321	-0.0496347
-0.0389281	-0.0495235
-0.0369358	-0.0494085
-0.0349584	-0.0492986
-0.0329342	-0.0491832
-0.0309356	-0.049073
-0.028939	-0.0489416
-0.0269393	-0.048813
-0.0248855	-0.0486842
-0.0228889	-0.0485591
-0.0209582	-0.0483961
-0.0189457	-0.0482874
-0.0169184	-0.0481166
-0.0149208	-0.0479808
-0.0129391	-0.0478056
-0.0109288	-0.0476611
-8.92163e-3	-0.047495
-6.93994e-3	-0.0473207
-4.8755e-3	-0.0471335
-2.95216e-3	-0.0469541
-0.945009e-3	-0.0467657
1.09927e-3	-0.046543
3.09794e-3	-0.0463681
